,Survived,Pclass,Sex,Age,SibSp,Parch,Category,group_age,Age_group
0,0,3,male,22.0,1,0,Man,Adults,"(20, 30]"
1,1,1,female,38.0,1,0,Woman,Adults,"(30, 40]"
2,1,3,female,26.0,0,0,Woman,Adults,"(20, 30]"
3,1,1,female,35.0,1,0,Woman,Adults,"(30, 40]"
4,0,3,male,35.0,0,0,Man,Adults,"(30, 40]"
5,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
6,0,1,male,54.0,0,0,Man,Seniors,"(50, 60]"
7,0,3,male,2.0,3,1,child,Childs,"(0, 10]"
8,1,3,female,27.0,0,2,Woman,Adults,"(20, 30]"
9,1,2,female,14.0,1,0,child,Childs,"(10, 20]"
10,1,3,female,4.0,1,1,child,Childs,"(0, 10]"
11,1,1,female,58.0,0,0,Woman,Seniors,"(50, 60]"
12,0,3,male,20.0,0,0,Man,Adults,"(10, 20]"
13,0,3,male,39.0,1,5,Man,Adults,"(30, 40]"
14,0,3,female,14.0,0,0,child,Childs,"(10, 20]"
15,1,2,female,55.0,0,0,Woman,Seniors,"(50, 60]"
16,0,3,male,2.0,4,1,child,Childs,"(0, 10]"
17,1,2,male,30.0,0,0,Man,Adults,"(20, 30]"
18,0,3,female,31.0,1,0,Woman,Adults,"(30, 40]"
19,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
20,0,2,male,35.0,0,0,Man,Adults,"(30, 40]"
21,1,2,male,34.0,0,0,Man,Adults,"(30, 40]"
22,1,3,female,15.0,0,0,child,Childs,"(10, 20]"
23,1,1,male,28.0,0,0,Man,Adults,"(20, 30]"
24,0,3,female,8.0,3,1,child,Childs,"(0, 10]"
25,1,3,female,38.0,1,5,Woman,Adults,"(30, 40]"
26,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
27,0,1,male,19.0,3,2,Man,Adults,"(10, 20]"
28,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
29,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
30,0,1,male,40.0,0,0,Man,Adults,"(30, 40]"
31,1,1,female,35.0,1,0,Woman,Adults,"(30, 40]"
32,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
